valid_time,Value_sc,Value_sl,Value_e,european_aqi,aqi_band,aqi_color,aqi_level,dominant_pollutant,dominant_pollutant_aqi,critical_time,pm2_5,pm10,ozone,nitrogen_dioxide,sulphur_dioxide,dust,source_domain,source,aggregation,aqi_pm2_5,aqi_pm10,aqi_no2,aqi_o3,aqi_so2
2026-08-28T00:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,27.0,FAIR,GREEN,0,PM2.5,27.0,2026-08-28T00:00:00Z,12.2,20.4,48.0,3.8,4.6,6.0,cams_europe,CAMS Europe/Global via Open-Meteo,maximum hourly risk/value within 3-hour slot,27.0,18.0,2.0,19.0,1.0
2026-08-28T03:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,27.0,FAIR,GREEN,0,PM2.5,27.0,2026-08-28T03:00:00Z,15.0,21.2,44.0,4.7,2.2,7.0,cams_europe,CAMS Europe/Global via Open-Meteo,maximum hourly risk/value within 3-hour slot,27.0,19.0,2.0,18.0,0.0
2026-08-28T06:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,30.0,FAIR,GREEN,0,O3,30.0,2026-08-28T08:00:00Z,17.8,23.5,76.0,4.3,2.5,8.0,cams_europe,CAMS Europe/Global via Open-Meteo,maximum hourly risk/value within 3-hour slot,28.0,19.0,2.0,30.0,1.0
2026-08-28T09:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,36.0,FAIR,GREEN,0,O3,36.0,2026-08-28T10:00:00Z,14.8,43.6,91.0,1.1,2.8,21.0,cams_europe,CAMS Europe/Global via Open-Meteo,maximum hourly risk/value within 3-hour slot,28.0,20.0,1.0,36.0,1.0
2026-08-28T12:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,35.0,FAIR,GREEN,0,O3,35.0,2026-08-28T12:00:00Z,15.0,49.6,88.0,0.8,4.1,30.0,cams_europe,CAMS Europe/Global via Open-Meteo,maximum hourly risk/value within 3-hour slot,27.0,23.0,0.0,35.0,1.0
2026-08-28T15:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,33.0,FAIR,GREEN,0,O3,33.0,2026-08-28T16:00:00Z,17.3,48.9,82.0,2.7,4.1,27.0,cams_europe,CAMS Europe/Global via Open-Meteo,maximum hourly risk/value within 3-hour slot,28.0,27.0,1.0,33.0,1.0
2026-08-28T18:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,31.0,FAIR,GREEN,0,PM10,31.0,2026-08-28T20:00:00Z,21.0,52.9,68.0,5.7,3.7,26.0,cams_europe,CAMS Europe/Global via Open-Meteo,maximum hourly risk/value within 3-hour slot,29.0,31.0,3.0,27.0,1.0
2026-08-28T21:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,35.0,FAIR,GREEN,0,PM10,35.0,2026-08-28T23:00:00Z,22.3,51.2,55.0,4.6,2.5,26.0,cams_europe,CAMS Europe/Global via Open-Meteo,maximum hourly risk/value within 3-hour slot,31.0,35.0,2.0,22.0,1.0
2026-08-29T00:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,38.0,FAIR,GREEN,0,PM10,38.0,2026-08-29T02:00:00Z,22.7,40.5,37.0,5.4,3.7,22.0,cams_europe,CAMS Europe/Global via Open-Meteo,maximum hourly risk/value within 3-hour slot,34.0,38.0,3.0,15.0,1.0
2026-08-29T03:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,39.0,FAIR,GREEN,0,PM10,39.0,2026-08-29T04:00:00Z,20.1,32.5,41.0,5.8,7.5,20.0,cams_europe,CAMS Europe/Global via Open-Meteo,maximum hourly risk/value within 3-hour slot,36.0,39.0,3.0,16.0,2.0
