date,Value_sc,fwi,fwi_effis_class_id,fwi_effis_class,fwi_range,fwi_color,fwi_class_fraction,fwi_classified_pixels,fwi_modal_fraction,source,source_wms,source_layer,model_run,source_status,aggregation,retrieved_at_utc,method_note
2026-08-29,АДА,,,,,,,0,,EFFIS deterministic FWI,,,,UNAVAILABLE,none,2026-08-25T11:16:27.776550Z,No populated deterministic EFFIS FWI WMS render was available for this valid date; FWI is intentionally unavailable and must not be interpreted as GREEN/no risk.
2026-08-29,КИКИНДА,,,,,,,0,,EFFIS deterministic FWI,,,,UNAVAILABLE,none,2026-08-25T11:16:27.776550Z,No populated deterministic EFFIS FWI WMS render was available for this valid date; FWI is intentionally unavailable and must not be interpreted as GREEN/no risk.
2026-08-29,СЕНТА,,,,,,,0,,EFFIS deterministic FWI,,,,UNAVAILABLE,none,2026-08-25T11:16:27.776550Z,No populated deterministic EFFIS FWI WMS render was available for this valid date; FWI is intentionally unavailable and must not be interpreted as GREEN/no risk.
2026-08-29,ЧОКА,,,,,,,0,,EFFIS deterministic FWI,,,,UNAVAILABLE,none,2026-08-25T11:16:27.776550Z,No populated deterministic EFFIS FWI WMS render was available for this valid date; FWI is intentionally unavailable and must not be interpreted as GREEN/no risk.
2026-08-29,НОВИ КНЕЖЕВАЦ,,,,,,,0,,EFFIS deterministic FWI,,,,UNAVAILABLE,none,2026-08-25T11:16:27.776550Z,No populated deterministic EFFIS FWI WMS render was available for this valid date; FWI is intentionally unavailable and must not be interpreted as GREEN/no risk.
2026-08-29,КАЊИЖА,,,,,,,0,,EFFIS deterministic FWI,,,,UNAVAILABLE,none,2026-08-25T11:16:27.776550Z,No populated deterministic EFFIS FWI WMS render was available for this valid date; FWI is intentionally unavailable and must not be interpreted as GREEN/no risk.
2026-08-29,ЖАБАРИ,,,,,,,0,,EFFIS deterministic FWI,,,,UNAVAILABLE,none,2026-08-25T11:16:27.776550Z,No populated deterministic EFFIS FWI WMS render was available for this valid date; FWI is intentionally unavailable and must not be interpreted as GREEN/no risk.
2026-08-29,ЖАГУБИЦА,,,,,,,0,,EFFIS deterministic FWI,,,,UNAVAILABLE,none,2026-08-25T11:16:27.776550Z,No populated deterministic EFFIS FWI WMS render was available for this valid date; FWI is intentionally unavailable and must not be interpreted as GREEN/no risk.
2026-08-29,ПЕТРОВАЦ НА МЛАВИ,,,,,,,0,,EFFIS deterministic FWI,,,,UNAVAILABLE,none,2026-08-25T11:16:27.776550Z,No populated deterministic EFFIS FWI WMS render was available for this valid date; FWI is intentionally unavailable and must not be interpreted as GREEN/no risk.
2026-08-29,КУЧЕВО,,,,,,,0,,EFFIS deterministic FWI,,,,UNAVAILABLE,none,2026-08-25T11:16:27.776550Z,No populated deterministic EFFIS FWI WMS render was available for this valid date; FWI is intentionally unavailable and must not be interpreted as GREEN/no risk.
