valid_time,Value_sc,hdw,hdw_percentile,hdw_color,max_vpd_hpa,max_wind_ms,pl_levels_used,spatial_aggregation,source,model_run,retrieved_at_utc,method
2026-08-27T06:00:00Z,ЂАКОВИЦА,20.30,,,12.32,1.65,1,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,ЈАГОДИНА-ГРАД,84.29,,,17.33,4.86,1,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,ЉИГ,20.44,,,18.08,1.13,1,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,ЋУПРИЈА,55.45,,,13.60,4.08,1,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,АДА,90.83,,,23.85,3.81,2,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,АЛЕКСАНДРОВАЦ,22.35,,,11.33,1.97,1,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,АЛЕКСИНАЦ,55.94,,,14.12,3.96,1,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,АЛИБУНАР,88.25,,,18.44,4.79,2,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,АПАТИН,80.25,,,21.73,3.69,2,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,АРАНЂЕЛОВАЦ,27.13,,,16.31,1.66,1,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,БАЈИНА БАШТА,65.46,,,23.26,2.81,2,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,БАБУШНИЦА,118.42,,,14.12,8.38,2,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,БАЧКА ПАЛАНКА,85.59,,,21.36,4.01,2,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,БАЧКА ТОПОЛА,110.64,,,23.93,4.62,2,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,БЕЛА ПАЛАНКА,122.21,,,15.74,7.77,2,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,БЕОГРАД-ВОЖДОВАЦ,74.44,,,21.83,3.41,2,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,БЕОГРАД-ЛАЗАРЕВАЦ,51.08,,,21.44,2.38,2,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,БЕОГРАД-МЛАДЕНОВАЦ,72.31,,,19.40,3.73,1,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,БЕОГРАД-СОПОТ,51.40,,,19.39,2.65,1,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,БЕОГРАД-СУРЧИН,68.42,,,22.70,3.01,2,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,БЛАЦЕ,32.83,,,12.91,2.54,1,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,БОЈНИК,98.18,,,16.81,5.84,2,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,БОЉЕВАЦ,58.39,,,11.99,4.87,1,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,БОР,86.49,,,14.37,6.02,1,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,БОСИЛЕГРАД,52.88,,,9.85,5.37,1,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,БУЈАНОВАЦ,32.71,,,11.25,2.91,1,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,ВАЉЕВО-ГРАД,27.87,,,13.36,2.09,1,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,ВАРВАРИН,58.36,,,14.79,3.94,1,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,ВЕЛИКА ПЛАНА,78.61,,,18.94,4.15,1,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,ВЕЛИКО ГРАДИШТЕ,108.05,,,15.82,6.83,1,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,ВЛАДИЧИН ХАН,121.53,,,17.86,6.80,2,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,ВЛАСОТИНЦЕ,122.48,,,17.50,7.00,2,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,ВРАЊЕ-ГРАД,147.97,,,20.36,7.27,2,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,ВРБАС,93.03,,,23.93,3.89,2,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,ВРШАЦ,78.79,,,16.08,4.90,2,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,ВУЧИТРН,86.03,,,19.65,4.38,2,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,ГЊИЛАНЕ,120.51,,,18.74,6.43,2,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,ГОРЊИ МИЛАНОВАЦ,16.45,,,14.07,1.17,1,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,ГОРА,8.73,,,5.92,1.47,0,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,ДЕСПОТОВАЦ,152.07,,,15.81,9.62,1,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,ДЕЧАНИ,11.16,,,11.52,0.97,1,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,ДИМИТРОВГРАД,158.47,,,17.23,9.20,2,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
2026-08-27T06:00:00Z,ЖАБАЉ,95.76,,,24.84,3.86,2,inside-grid-max,ECMWF IFS,2026-08-25T00:00:00Z,2026-08-25T11:19:33.327453Z,HDW 500m Open-Data pressure-level approximation
