Municipality_DOM_ID,Value_e,Value_sl,Value_sc,date,day_index,model_run,gefs_heat_index_max,icon_heat_index_max,multimodel_heat_index_max,p_below_27,p_27_32,p_32_41,p_41_54,p_ge_54,dominant_category,heat_stress_category_sr,heat_stress_color,dominant_category_probability,peak_heat_index_valid_time,models,gefs_members,icon_members,status
80012,ADA,ADA,АДА,2026-08-27,2,2026-08-25T00:00:00+00:00,31.4,30.5,30.9,1.6,79.4,19.0,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,79.4,2026-08-27T12:00:00+00:00,GEFS | ICON global EPS,31,40,EXPERIMENTAL / NOT CALIBRATED
80209,KIKINDA,KIKINDA,КИКИНДА,2026-08-27,2,2026-08-25T00:00:00+00:00,31.1,30.6,30.9,1.6,82.1,16.3,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,82.1,2026-08-27T12:00:00+00:00,GEFS | ICON global EPS,31,40,EXPERIMENTAL / NOT CALIBRATED
80365,SENTA,SENTA,СЕНТА,2026-08-27,2,2026-08-25T00:00:00+00:00,31.0,30.5,30.7,3.2,79.4,17.4,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,79.4,2026-08-27T12:00:00+00:00,GEFS | ICON global EPS,31,40,EXPERIMENTAL / NOT CALIBRATED
80489,ČOKA,ČOKA,ЧОКА,2026-08-27,2,2026-08-25T00:00:00+00:00,30.9,30.5,30.7,3.2,81.0,15.8,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,81.0,2026-08-27T12:00:00+00:00,GEFS | ICON global EPS,31,40,EXPERIMENTAL / NOT CALIBRATED
80276,NOVI KNEŽEVAC,NOVI KNEŽEVAC,НОВИ КНЕЖЕВАЦ,2026-08-27,2,2026-08-25T00:00:00+00:00,30.9,30.2,30.5,3.2,79.8,17.0,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,79.8,2026-08-27T12:00:00+00:00,GEFS | ICON global EPS,31,40,EXPERIMENTAL / NOT CALIBRATED
80195,KANJIŽA,KANJIŽA,КАЊИЖА,2026-08-27,2,2026-08-25T00:00:00+00:00,31.0,30.2,30.6,3.2,78.1,18.6,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,78.1,2026-08-27T12:00:00+00:00,GEFS | ICON global EPS,31,40,EXPERIMENTAL / NOT CALIBRATED
70521,ŽABARI,ŽABARI,ЖАБАРИ,2026-08-27,2,2026-08-25T00:00:00+00:00,31.5,31.3,31.4,0.0,65.3,34.7,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,65.3,2026-08-27T12:00:00+00:00,GEFS | ICON global EPS,31,40,EXPERIMENTAL / NOT CALIBRATED
70530,ŽAGUBICA,ŽAGUBICA,ЖАГУБИЦА,2026-08-27,2,2026-08-25T00:00:00+00:00,28.5,28.5,28.5,12.2,84.6,3.2,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,84.6,2026-08-27T12:00:00+00:00,GEFS | ICON global EPS,31,40,EXPERIMENTAL / NOT CALIBRATED
70912,PETROVAC NA MLAVI,PETROVAC NA MLAVI,ПЕТРОВАЦ НА МЛАВИ,2026-08-27,2,2026-08-25T00:00:00+00:00,29.9,30.1,30.0,3.2,91.9,4.8,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,91.9,2026-08-27T12:00:00+00:00,GEFS | ICON global EPS,31,40,EXPERIMENTAL / NOT CALIBRATED
70696,KUČEVO,KUČEVO,КУЧЕВО,2026-08-27,2,2026-08-25T00:00:00+00:00,29.6,28.9,29.2,6.5,88.7,4.8,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,88.7,2026-08-27T12:00:00+00:00,GEFS | ICON global EPS,31,40,EXPERIMENTAL / NOT CALIBRATED
70807,MALO CRNIĆE,MALO CRNIĆE,МАЛО ЦРНИЋЕ,2026-08-27,2,2026-08-25T00:00:00+00:00,31.5,31.1,31.3,0.0,75.3,24.7,0.0,0.0,27_32,Повишен топлотни стрес,YELLOW,75.3,2026-08-27T12:00:00+00:00,GEFS | ICON global EPS,31,40,EXPERIMENTAL / NOT CALIBRATED
