Municipality_DOM_ID,Value_e,Value_sl,Value_sc,forecast_hour,valid_time,local_time,gefs_heat_index,gefs_heat_index_p90,gefs_t2m,gefs_rh2m,icon_heat_index,icon_heat_index_p90,icon_t2m,icon_rh2m,multimodel_heat_index,p_below_27,p_27_32,p_32_41,p_41_54,p_ge_54,dominant_category,heat_stress_category_sr,heat_stress_color,dominant_category_probability,models_available,source_models,model_spread_c,confidence,gefs_members,icon_members,status
80012,ADA,ADA,АДА,78,2026-08-28T06:00:00+00:00,2026-08-28T08:00:00+02:00,23.9,26.1,23.9,41.6,22.9,24.4,22.9,58.2,23.4,98.4,1.6,0.0,0.0,0.0,below_27,Без значајног топлотног стреса,GREEN,98.4,2,GEFS | ICON global EPS,0.9,HIGH,31,40,EXPERIMENTAL / NOT CALIBRATED
80209,KIKINDA,KIKINDA,КИКИНДА,78,2026-08-28T06:00:00+00:00,2026-08-28T08:00:00+02:00,23.9,25.5,23.9,41.9,23.1,24.6,23.1,57.4,23.5,100.0,0.0,0.0,0.0,0.0,below_27,Без значајног топлотног стреса,GREEN,100.0,2,GEFS | ICON global EPS,0.8,HIGH,31,40,EXPERIMENTAL / NOT CALIBRATED
80365,SENTA,SENTA,СЕНТА,78,2026-08-28T06:00:00+00:00,2026-08-28T08:00:00+02:00,23.6,26.1,23.6,40.7,22.9,24.4,22.9,58.2,23.2,100.0,0.0,0.0,0.0,0.0,below_27,Без значајног топлотног стреса,GREEN,100.0,2,GEFS | ICON global EPS,0.6,HIGH,31,40,EXPERIMENTAL / NOT CALIBRATED
80489,ČOKA,ČOKA,ЧОКА,78,2026-08-28T06:00:00+00:00,2026-08-28T08:00:00+02:00,23.6,26.0,23.6,41.9,22.9,24.4,22.9,58.2,23.2,100.0,0.0,0.0,0.0,0.0,below_27,Без значајног топлотног стреса,GREEN,100.0,2,GEFS | ICON global EPS,0.6,HIGH,31,40,EXPERIMENTAL / NOT CALIBRATED
80276,NOVI KNEŽEVAC,NOVI KNEŽEVAC,НОВИ КНЕЖЕВАЦ,78,2026-08-28T06:00:00+00:00,2026-08-28T08:00:00+02:00,23.6,26.0,23.6,41.9,22.7,24.3,22.7,58.9,23.1,100.0,0.0,0.0,0.0,0.0,below_27,Без значајног топлотног стреса,GREEN,100.0,2,GEFS | ICON global EPS,0.9,HIGH,31,40,EXPERIMENTAL / NOT CALIBRATED
80195,KANJIŽA,KANJIŽA,КАЊИЖА,78,2026-08-28T06:00:00+00:00,2026-08-28T08:00:00+02:00,23.6,26.1,23.6,40.7,22.7,24.3,22.7,58.9,23.1,100.0,0.0,0.0,0.0,0.0,below_27,Без значајног топлотног стреса,GREEN,100.0,2,GEFS | ICON global EPS,0.9,HIGH,31,40,EXPERIMENTAL / NOT CALIBRATED
70521,ŽABARI,ŽABARI,ЖАБАРИ,78,2026-08-28T06:00:00+00:00,2026-08-28T08:00:00+02:00,23.1,24.7,23.1,45.7,23.8,25.7,23.8,54.6,23.5,100.0,0.0,0.0,0.0,0.0,below_27,Без значајног топлотног стреса,GREEN,100.0,2,GEFS | ICON global EPS,0.7,HIGH,31,40,EXPERIMENTAL / NOT CALIBRATED
70530,ŽAGUBICA,ŽAGUBICA,ЖАГУБИЦА,78,2026-08-28T06:00:00+00:00,2026-08-28T08:00:00+02:00,19.8,21.6,19.8,57.1,21.1,22.8,21.1,63.1,20.4,100.0,0.0,0.0,0.0,0.0,below_27,Без значајног топлотног стреса,GREEN,100.0,2,GEFS | ICON global EPS,1.3,HIGH,31,40,EXPERIMENTAL / NOT CALIBRATED
70912,PETROVAC NA MLAVI,PETROVAC NA MLAVI,ПЕТРОВАЦ НА МЛАВИ,78,2026-08-28T06:00:00+00:00,2026-08-28T08:00:00+02:00,21.5,23.7,21.5,49.4,24.1,25.8,24.1,53.3,22.8,95.9,4.1,0.0,0.0,0.0,below_27,Без значајног топлотног стреса,GREEN,95.9,2,GEFS | ICON global EPS,2.7,HIGH,31,40,EXPERIMENTAL / NOT CALIBRATED
70696,KUČEVO,KUČEVO,КУЧЕВО,78,2026-08-28T06:00:00+00:00,2026-08-28T08:00:00+02:00,20.4,21.7,20.4,57.4,20.4,21.4,20.4,67.6,20.4,100.0,0.0,0.0,0.0,0.0,below_27,Без значајног топлотног стреса,GREEN,100.0,2,GEFS | ICON global EPS,0.0,HIGH,31,40,EXPERIMENTAL / NOT CALIBRATED
