Value_sc,ecmwf_thunder,gefs_thunder,icon_thunder,models_available,dominant_model,max_model_probability,min_model_probability,model_spread,signal_models_ge10,supporting_models_ge30,raw_risk,risk_level,confidence_level,model_disagreement,municipality_neighbours,dominant_probability,dominant_signal_cluster_ge10,dominant_core_cluster_ge30,dominant_neighbours_ge10,dominant_neighbours_ge30,spatial_coherence,local_spatial_support,ecmwf_signal_cluster_ge10,ecmwf_core_cluster_ge30,icon_signal_cluster_ge10,icon_core_cluster_ge30,gefs_signal_cluster_ge10,gefs_core_cluster_ge30
ЉУБОВИЈА,76.0,0.0,7.5,3,ECMWF,76.0,0.0,76.0,1,1,HIGH,HIGH,LOW,HIGH,5,76.0,122,63,5,5,HIGH,HIGH,122,63,0,0,0,0
БАЈИНА БАШТА,76.0,0.0,7.5,3,ECMWF,76.0,0.0,76.0,1,1,HIGH,HIGH,LOW,HIGH,4,76.0,122,63,4,4,HIGH,HIGH,122,63,0,0,0,0
УЖИЦЕ-ГРАД,76.0,3.2,2.5,3,ECMWF,76.0,2.5,73.5,1,1,HIGH,HIGH,LOW,HIGH,5,76.0,122,63,5,5,HIGH,HIGH,122,63,0,0,0,0
НОВА ВАРОШ,74.0,3.2,2.5,3,ECMWF,74.0,2.5,71.5,1,1,HIGH,HIGH,LOW,HIGH,6,74.0,122,63,6,5,HIGH,HIGH,122,63,0,0,0,0
ПРИЈЕПОЉЕ,74.0,3.2,5.0,3,ECMWF,74.0,3.2,70.8,1,1,HIGH,HIGH,LOW,HIGH,3,74.0,122,63,3,2,HIGH,MODERATE,122,63,0,0,0,0
ПРИБОЈ,74.0,6.5,10.0,3,ECMWF,74.0,6.5,67.5,2,1,HIGH,HIGH,LOW,HIGH,3,74.0,122,63,3,3,HIGH,MODERATE,122,63,1,0,0,0
ЧАЈЕТИНА,74.0,3.2,2.5,3,ECMWF,74.0,2.5,71.5,1,1,HIGH,HIGH,LOW,HIGH,4,74.0,122,63,4,4,HIGH,HIGH,122,63,0,0,0,0
АЛЕКСАНДРОВАЦ,54.0,0.0,0.0,3,ECMWF,54.0,0.0,54.0,1,1,SIGNIFICANT,SIGNIFICANT,LOW,HIGH,6,54.0,122,63,6,5,HIGH,HIGH,122,63,0,0,0,0
ВРЊАЧКА БАЊА,54.0,0.0,0.0,3,ECMWF,54.0,0.0,54.0,1,1,SIGNIFICANT,SIGNIFICANT,LOW,HIGH,3,54.0,122,63,3,2,HIGH,MODERATE,122,63,0,0,0,0
ИВАЊИЦА,54.0,3.2,0.0,3,ECMWF,54.0,0.0,54.0,1,1,SIGNIFICANT,SIGNIFICANT,LOW,HIGH,7,54.0,122,63,7,6,HIGH,HIGH,122,63,0,0,0,0
КРАЉЕВО-ГРАД,54.0,0.0,0.0,3,ECMWF,54.0,0.0,54.0,1,1,SIGNIFICANT,SIGNIFICANT,LOW,HIGH,10,54.0,122,63,10,8,HIGH,HIGH,122,63,0,0,0,0
ЛУЧАНИ,54.0,3.2,0.0,3,ECMWF,54.0,0.0,54.0,1,1,SIGNIFICANT,SIGNIFICANT,LOW,HIGH,5,54.0,122,63,5,5,HIGH,HIGH,122,63,0,0,0,0
НОВИ ПАЗАР-ГРАД,54.0,0.0,0.0,3,ECMWF,54.0,0.0,54.0,1,1,SIGNIFICANT,SIGNIFICANT,LOW,HIGH,7,54.0,122,63,4,3,HIGH,MODERATE,122,63,0,0,0,0
