valid_time,Value_sc,Value_sl,Value_e,uv_index,uv_category,uv_color,uv_level,uv_max_time,source_domain,source,aggregation
2026-09-01T00:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,0.0,LOW,GREEN,0,2026-09-01T00:00:00Z,cams_global,CAMS Europe/Global via Open-Meteo UV index,maximum hourly UV index within 3-hour slot
2026-09-01T03:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,0.2,LOW,GREEN,0,2026-09-01T05:00:00Z,cams_global,CAMS Europe/Global via Open-Meteo UV index,maximum hourly UV index within 3-hour slot
2026-09-01T06:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,3.5,MODERATE,YELLOW,1,2026-09-01T08:00:00Z,cams_global,CAMS Europe/Global via Open-Meteo UV index,maximum hourly UV index within 3-hour slot
2026-09-01T09:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,6.0,HIGH,ORANGE,2,2026-09-01T10:00:00Z,cams_global,CAMS Europe/Global via Open-Meteo UV index,maximum hourly UV index within 3-hour slot
2026-09-01T12:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,4.7,MODERATE,YELLOW,1,2026-09-01T12:00:00Z,cams_global,CAMS Europe/Global via Open-Meteo UV index,maximum hourly UV index within 3-hour slot
2026-09-01T15:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,0.8,LOW,GREEN,0,2026-09-01T15:00:00Z,cams_global,CAMS Europe/Global via Open-Meteo UV index,maximum hourly UV index within 3-hour slot
2026-09-01T18:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,0.0,LOW,GREEN,0,2026-09-01T18:00:00Z,cams_global,CAMS Europe/Global via Open-Meteo UV index,maximum hourly UV index within 3-hour slot
2026-09-01T21:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,0.0,LOW,GREEN,0,2026-09-01T21:00:00Z,cams_global,CAMS Europe/Global via Open-Meteo UV index,maximum hourly UV index within 3-hour slot
2026-09-02T00:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,0.0,LOW,GREEN,0,2026-09-02T00:00:00Z,cams_global,CAMS Europe/Global via Open-Meteo UV index,maximum hourly UV index within 3-hour slot
2026-09-02T03:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,0.2,LOW,GREEN,0,2026-09-02T05:00:00Z,cams_global,CAMS Europe/Global via Open-Meteo UV index,maximum hourly UV index within 3-hour slot
2026-09-02T06:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,4.1,MODERATE,YELLOW,1,2026-09-02T08:00:00Z,cams_global,CAMS Europe/Global via Open-Meteo UV index,maximum hourly UV index within 3-hour slot
2026-09-02T09:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,6.4,HIGH,ORANGE,2,2026-09-02T10:00:00Z,cams_global,CAMS Europe/Global via Open-Meteo UV index,maximum hourly UV index within 3-hour slot
2026-09-02T12:00:00Z,ЂАКОВИЦА,ĐAKOVICA,ĐAKOVICA,5.2,MODERATE,YELLOW,1,2026-09-02T12:00:00Z,cams_global,CAMS Europe/Global via Open-Meteo UV index,maximum hourly UV index within 3-hour slot
